a,Affronted,Aggravated,Agitated,Annoyed,Antagonistic,
b,Belligerent,Bitter,Bugged,,,
c,Cranky,Critical,Critical,,,
d,Disgusted,Dismayed,Dismayed,Enraged,,
e,Exasperated,,,,,
f,Fed up,Fuming,Fuming,Furious,,
g,Galled,Grim,Grouchy,,,
h,Heated,Hostile,,,,
i,Ill-tempered,Impatient,Infuriated,Intense,Irate,Irritated
j,,,,,,
k,,,,,,
l,Livid,,,,,
m,Mad,,,,,
n,,,,,,
o,Offended,Outraged,,,,
p,Petulant,Provoked,,,,
q,,,,,,
r,Raging,Resentful,,,,
s,Seething,Sore,Spiteful,Storming,Sullen,
t,Testy,Ticked off,,,,
u,Uptight,,,,,
v,Vengeful,Vindictive,,,,
w,,,,,,
x,,,,,,
y,,,,,,
z,,,,,,