a,Aglow,Amused,Animated,Aroused,,,,,
b,Bold,Brotherly,Buoyant,,,,,,
c,Calm,Celebratory,Charmed,Cheerful,Confident,Contented,Cool,,
d,Delighted,,,,,,,,
e,Ecstatic,Elated,Elevated,Energetic,Engrossed,Enthusiastic,Esteemed,Euphoric,Exhilarated
f,Festive,Fine,Frisky,,,,,,
g,Glad,Gleeful,Glorious,Good,Good-natured,Grateful,Gratified,,
h,Happy,Hopeful,,,,,,,
i,In high spirits,,,,,,,,
j,Jovial,Joyful,Jubilant,,,,,,
k,Keen,Kind,,,,,,,
l,Light-hearted,Lively,Loving,,,,,,
m,Marvelous,Merry,,,,,,,
n,,,,,,,,,
o,Okay,Optimistic,Overjoyed,,,,,,
p,Playful,Pleasant,Pleased,Provocative,,,,,
q,,,,,,,,,
r,Receptive,,,,,,,,
s,Safe,Secure,Serene,Satisfied,Sparking,Supported,,,
t,Thrilled,Touched,Trusting,,,,,,
u,Up,,,,,,,,
v,Vibrant,Vigorous,,,,,,,
w,Warm,,,,,,,,
x,,,,,,,,,
y,,,,,,,,,
z,Zippy,,,,,,,,